OTU	domain	phylum	class	order	family	genus	species	SRR22993528	SRR22993529	SRR22993530	SRR22993531	SRR22993532	SRR22993533	SRR22993534	SRR22993535	SRR22993536	SRR22993537	SRR22993538	SRR22993539	SRR22993540	SRR22993541	SRR22993542	SRR22993543	SRR22993544	SRR22993545	SRR22993546	SRR22993547	SRR22993548	SRR22993549	SRR22993550	SRR22993551
29	ASV29	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	8	81	114	28	81	203	159	144	174	25	88	204	13	85	70	243	0	22	188	14	0	175	625
30	ASV30	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	182	194	185	98	141	182	123	141	162	102	207	87	173	154	203	0	58	176	45	0	74	0
31	ASV31	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	105	116	103	95	60	149	93	72	614	193	94	154	120	67	110	0	28	168	0	0	83	155
32	ASV32	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	NA	0	0	0	0	0	0	0	1207	822	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	ASV33	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	692	0	1568	102	0	0
34	ASV34	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	0	0	240	201	117	129	0	0	44	55	146	59	0	0	533	248	0	0	0	602	0	0	72	66
35	ASV35	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	2381	0	0	0	0	0	0	0	0
36	ASV36	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	2430	0	0	0	63	0	0	0	0	0	0
37	ASV37	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	203	172	97	129	51	155	110	139	101	119	105	42	229	215	147	0	39	88	34	0	123	83
38	ASV38	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	NA	0	66	44	62	168	135	22	85	164	163	175	58	298	165	161	71	163	34	0	70	57	48	73	0
39	ASV39	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	0	814	0	0	12	8	0	0	57	58	31	14	0	61	0	33	0	110	222	23	207	495	109	6
40	ASV40	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA	0	0	98	123	256	38	61	62	52	0	0	29	305	0	0	0	142	207	261	0	404	116	69	0
41	ASV41	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	113	107	81	43	48	114	44	66	175	67	67	60	296	138	75	0	0	208	0	0	123	319
42	ASV42	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	NA	0	59	142	257	171	123	0	35	65	45	15	158	128	14	83	51	65	20	0	0	73	61	548	0
43	ASV43	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	0	0	194	207	172	172	85	14	204	141	127	116	88	54	106	80	124	0	31	50	0	8	116	0
44	ASV44	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	NA	0	1325	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	29	331	0	56	303	0	0
45	ASV45	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	NA	1924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	ASV46	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	92	68	47	82	45	58	49	121	177	89	154	60	176	70	235	0	0	277	0	0	42	78
47	ASV47	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	0	501	0	0	22	24	0	0	105	160	74	45	0	162	0	0	0	75	58	0	149	123	406	0
48	ASV48	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	106	75	104	58	43	111	39	36	114	50	252	39	110	78	313	0	0	106	0	0	37	217
49	ASV49	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	172	168	128	86	102	86	67	67	0	149	226	0	53	86	339	0	22	0	0	16	114	0
50	ASV50	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	114	111	90	60	64	76	43	66	205	56	135	57	200	97	165	0	15	91	0	34	98	71
51	ASV51	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	18	188	246	192	306	64	169	81	102	114	82	0	37	13	0	0	0	34	75	0	33	73	0
52	ASV52	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	0	0	99	64	0	222	105	45	158	80	94	58	221	74	0	0	189	0	20	238	0	0	124	0
53	ASV53	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	253	0	221	634	0	0
54	ASV54	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	633	0	479	545	0	0
55	ASV55	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	0	0	426	419	0	419	0	0	0	0	90	0	31	0	225	123	31	0	0	0	0	0	0	0
56	ASV56	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	0	13	18	8	0	0	0	0	0	0	10	60	0	398	249	97	23	18	0	33	9	9	818
57	ASV57	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	74	81	128	88	36	109	33	53	65	114	65	18	102	106	118	0	0	97	0	0	104	370
58	ASV58	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	NA	0	0	0	0	0	0	0	1758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	ASV59	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	0	0	200	178	84	54	67	52	133	214	112	109	96	0	0	0	174	0	0	244	0	0	34	0
60	ASV60	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	86	71	117	107	23	26	79	111	278	143	128	104	72	35	131	0	0	40	0	0	117	75
61	ASV61	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA	0	0	93	110	235	199	28	33	33	62	144	90	121	0	0	0	103	0	18	41	0	24	0	408
62	ASV62	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	0	0	0	18	124	66	0	27	451	78	73	64	137	23	0	0	133	0	19	74	20	27	368	0
63	ASV63	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-011	NA	NA	0	0	56	87	83	60	0	42	69	105	61	70	324	0	165	135	223	0	11	70	0	0	68	55
64	ASV64	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	0	0	182	169	119	151	47	74	68	260	157	92	17	69	62	23	40	0	9	36	10	0	69	0
65	ASV65	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	117	98	146	88	36	132	64	96	141	115	73	27	39	23	120	0	20	168	0	20	58	46
66	ASV66	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	54	0	171	171	153	182	64	142	74	56	79	98	47	21	0	38	47	0	21	91	0	0	75	38
67	ASV67	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	NA	0	0	47	142	348	34	27	0	239	55	203	97	58	66	44	0	42	0	26	22	18	0	143	0
68	ASV68	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	0	0	97	90	176	75	26	54	37	44	35	161	200	0	77	45	141	0	34	156	31	28	102	0
69	ASV69	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	116	109	83	79	38	66	76	139	56	42	108	23	93	61	113	0	71	65	62	84	68	49
70	ASV70	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	196	0	0	0	0	0	0
71	ASV71	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	0	0	163	151	165	103	30	120	65	206	132	110	0	83	70	31	46	0	0	45	0	0	72	0
72	ASV72	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	145	151	296	76	14	45	28	56	104	107	39	32	63	58	67	0	0	49	0	0	51	210
73	ASV73	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	98	60	76	114	13	47	56	65	80	70	256	0	0	0	386	0	0	93	0	0	46	126
74	ASV74	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	72	0	0	17	0	0
